shopify_id,handle,title,vendor,current_type,suggested_type,confidence,validation_status,reasoning,alternative_types,tags,collections
gid://shopify/Product/6965653995601,bare-equestrian-ecoluxe-recycled-tank-foil-logo,Bare Equestrian's Ecoluxe Tank: Foil Logo Recycled Horse Riding Tights,Vivarchie Equestrian,(No Product Type),Breeches & Riding Tights,95,claude-validated,"Claude override (higher confidence): While 'Active Tights' is partially correct, the more specific and accurate classification from the valid product types list is 'Breeches & Riding Tights'. This product is explicitly described as 'Horse Riding Tights' in the title, and the collections include 'horse-riding-apparel'. The 'Breeches & Riding Tights' type is specifically designed for equestrian products, making it more precise than the generic 'Active Tights' category. This specialized category better reflects the product's intended use and aligns with the vendor (Vivarchie Equestrian) and tags (bare equestrian, riding tights).. OpenAI suggested: Active Tights",Active Tights,australia only; bare equestrian; l; m; riding tights,horse-riding-apparel; vivarchie-equestrian; bare-equestrian
gid://shopify/Product/6965654028369,bare-equestrian-ecoluxe-recycled-t-shirt-be-kind,"Horse Riding Tights: BARE EQUESTRIAN ECOLUXE Recycled T-Shirt, The Eco-Friendly Option for a Kind Generation",Vivarchie Equestrian,(No Product Type),Active Tights,90,claude-validated,"OpenAI override (higher confidence): The title and tags mention 'Horse Riding Tights' and 'riding tights', indicating a focus on tights specifically designed for horse riding. The mention of 'BARE EQUESTRIAN' and 'EcoLuxe' suggests a specific product line, but the primary product type remains 'Active Tights'.. Claude suggested: CLOTHING: Casual Clothing Ladies",CLOTHING: Casual Clothing Ladies,australia only; bare equestrian; horse riding and casual shirts; riding tights; s,horse-riding-apparel; vivarchie-equestrian; bare-equestrian
gid://shopify/Product/6965654323281,dynavyte-microbiome-support,Dynavyte Microbiome Support,Vivarchie Equestrian,(No Product Type),Horse Supplements,85,claude-validated,"OpenAI override (higher confidence): The product is associated with 'horse-health' and 'microbiome support', which suggests it is likely a supplement for horses. The vendor specializes in equestrian products, further supporting this classification.. Claude suggested: Coat, Hoof & Grooming","Coat, Hoof & Grooming",10l; 20l; australia only; dynavyte; vivarchie equestrian,horse-health; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965654421585,dynavyte-stopgreasy,Dynavyte Stopgreasy,Vivarchie Equestrian,(No Product Type),Care Products,90,claude-validated,"Dual AI validation - OpenAI (85%) + Claude (90%) agree: The product 'Dynavyte Stopgreasy' is clearly a horse health/care product based on its collection placement in 'horse-health' and vendor specialization in equestrian products. The name 'Stopgreasy' suggests it addresses greasy coat conditions in horses, which is a grooming/care concern. While 'Coat Care' or 'Coat, Hoof & Grooming' could be considered, these appear to be more specific subcategories. 'Care Products' is the most appropriate general category from the valid list that encompasses this type of equine health and grooming product. The confidence is slightly higher than the original classification (90% vs 85%) because the product clearly fits within care/health products rather than supplements, accessories, or other categories.",,200g; 600g; australia only; dynavyte; vivarchie equestrian,horse-health; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965654454353,dynavyte-tenderfoot-1,Dynavyte Tenderfoot,Vivarchie Equestrian,(No Product Type),Care Products,90,claude-validated,"Dual AI validation - OpenAI (85%) + Claude (90%) agree: The classification 'Care Products' is appropriate. Dynavyte Tenderfoot is a hoof care product for horses, specifically designed for hoof health and tenderness issues. The product name 'Tenderfoot' clearly indicates it addresses hoof problems. It belongs in the horse-health collection and Dynavyte is a well-known brand for equine health and care products. 'Care Products' is the most suitable category from the available options, as it encompasses horse health and wellness items. Alternative categories like 'Coat, Hoof & Grooming' might seem relevant but are not in the valid types list, making 'Care Products' the correct choice.",,australia only; dynavyte,horse-health; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965654487121,epona-tigers-tongue,Epona Tigers Tongue,Vivarchie Equestrian,(No Product Type),"Coat, Hoof & Grooming",90,claude-validated,"Dual AI validation - OpenAI (85%) + Claude (90%) agree: The Epona Tigers Tongue is a well-known horse grooming tool (a curry comb with a unique texture for removing dirt and loose hair). The product is clearly in the 'horse-grooming-supplies' collection, and 'Coat, Hoof & Grooming' is the most appropriate and specific type available in the valid product types list. This classification accurately reflects the product's purpose and category. Confidence is slightly higher than the previous classification due to the clear match between product function and category.",,australia only,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965654519889,equidae-essential-hoof-oil-500ml,Equidae Hoof Care Oil - 500ml,Vivarchie Equestrian,(No Product Type),"Coat, Hoof & Grooming",95,claude-validated,"Dual AI validation - OpenAI (90%) + Claude (95%) agree: The product 'Equidae Hoof Care Oil - 500ml' is explicitly a hoof care product as indicated by both the title and tags. The classification 'Coat, Hoof & Grooming' is the most appropriate type from the available options, as it specifically includes 'Hoof' in its name. While there are alternative types like 'Coat and Hoof care' (note the lowercase 'c' in care), the original classification 'Coat, Hoof & Grooming' appears to be the standard format and is more comprehensive. The product clearly fits within this category, and no other type would be more suitable.",,australia only; hoof care,horse-health; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965654782033,equidae-fresh-fragrant-helmet-spray-125ml,Equidae FRESH & FRAGRANT Helmet Spray - 125ml,Vivarchie Equestrian,(No Product Type),Care Products,90,claude-validated,"Dual AI validation - OpenAI (85%) + Claude (90%) agree: The product is a helmet spray designed for freshening and maintaining riding helmets. 'Care Products' is the most appropriate classification from the available types, as it encompasses maintenance and care items for equestrian equipment. The product clearly serves a care/maintenance function rather than being an accessory, apparel, or equipment item itself. The confidence is slightly higher than the original classification because 'Care Products' is clearly the best fit among all available options.",,australia only,horse-riding-apparel; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965654847569,equidae-heal-restore-wound-plus-95g,Equidae HEAL & RESTORE Wound Plus+ 95g,Vivarchie Equestrian,(No Product Type),Care Products,95,claude-validated,"Dual AI validation - OpenAI (90%) + Claude (95%) agree: The classification 'Care Products' is correct. The product is clearly a wound care treatment for horses as indicated by the title 'HEAL & RESTORE Wound Plus+', the 'wound care' tag, and its placement in the 'horse-health' collection. 'Care Products' is present in the valid product types list and is the most appropriate category for this veterinary/medical care item. The confidence is slightly increased to 95% because the evidence is very clear and unambiguous.",,australia only; wound care,horse-health; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965654913105,equidae-prevent-repair-hoof-hygiene-spray-250ml,Equidae Hoof Care: PREVENT & REPAIR Hoof Hygiene Spray - 250ml,Vivarchie Equestrian,(No Product Type),"Coat, Hoof & Grooming",95,claude-validated,"Dual AI validation - OpenAI (90%) + Claude (95%) agree: The product is explicitly a 'Hoof Hygiene Spray' for hoof care as indicated in the title. The classification 'Coat, Hoof & Grooming' is the most appropriate match from the valid product types list. While 'Coat and Hoof care' (note the lowercase 'c' in care) also exists in the list and could be considered, 'Coat, Hoof & Grooming' appears to be the standard format and is more comprehensive. The product tags include 'hoof care' and it's in the 'horse-health' collection, all supporting this classification. The confidence is very high at 95%.",,australia only; hoof care,horse-health; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965654945873,equidae-protect-relief-paddock-spray-500ml,Equidae PROTECT & RELIEF Paddock Spray - 500ml,Vivarchie Equestrian,(No Product Type),Care Products,90,claude-validated,"Dual AI validation - OpenAI (85%) + Claude (90%) agree: The product is a paddock spray for horses, which is clearly a care/maintenance product. It's found in the 'horse-health' and 'stable-and-yard' collections, confirming its purpose for horse care and hygiene. 'Care Products' is present in the valid types list and is the most appropriate classification. The product doesn't fit other categories like clothing, tack, or accessories. My confidence is slightly higher (90% vs 85%) because the product name explicitly includes 'PROTECT & RELIEF' which are clear care-related terms, and the collections strongly support this classification.",,australia only; vivarchie equestrian,horse-health; stable-and-yard; vivarchie-equestrian
gid://shopify/Product/6965654978641,equidae-revitalise-relax-muscle-rinse-magnesium-oil,Shop Equidae Muscle Rinse with Magnesium Oil for Revitalization and Relaxation,Vivarchie Equestrian,(No Product Type),"Coat, Hoof & Grooming",90,claude-validated,"Dual AI validation - OpenAI (85%) + Claude (90%) agree: The product is a muscle rinse with magnesium oil designed for horses' revitalization and relaxation. While it has therapeutic properties, it is applied topically as part of the grooming routine. The product is tagged under 'horse-grooming-supplies' and 'horse-health', and is found in collections for grooming supplies. The 'Coat, Hoof & Grooming' classification is appropriate as this category encompasses grooming products that care for the horse's external body, including muscle care products applied during grooming. Although it could potentially fit under a health/supplements category, the application method (rinse) and primary tags strongly support the grooming classification.",,australia only; shampoo; vitamins and supplements,horse-grooming-supplies; horse-health; vivarchie-equestrian
gid://shopify/Product/6965655404625,equidae-shine-focussed-3in1-detangler-500ml,Equidae SHINE & FOCUSSED 3in1 Detangler - 500ml,Vivarchie Equestrian,(No Product Type),"Coat, Hoof & Grooming",95,claude-validated,"Dual AI validation - OpenAI (90%) + Claude (95%) agree: The product is explicitly a detangler for horses (Equidae SHINE & FOCUSSED 3in1 Detangler), which is a grooming product used for coat care. It is found in the 'horse-grooming-supplies' collection, confirming its purpose. 'Coat, Hoof & Grooming' is the most appropriate classification from the valid types list. Alternative types like 'Coat Care' or 'Coat and Hoof care' could also be considered, but 'Coat, Hoof & Grooming' is the most comprehensive and accurate match.",,australia only; vivarchie equestrian,horse-grooming-supplies; stable-and-yard; vivarchie-equestrian
gid://shopify/Product/6965655437393,equidae-soothing-calm-aloe-vera-spray-500ml,Equidae SOOTHING & CALM Aloe Vera Spray - 500ml,Vivarchie Equestrian,(No Product Type),Care Products,90,claude-validated,"Dual AI validation - OpenAI (85%) + Claude (90%) agree: The product is an Aloe Vera spray designed for soothing and calming, which clearly falls under care/grooming products for horses. While 'Coat Care' could be considered as it's more specific, the product description emphasizes 'SOOTHING & CALM' which suggests broader therapeutic care beyond just coat maintenance. 'Care Products' is the appropriate general category from the available options. The classification is correct and well-reasoned. I have slightly higher confidence (90% vs 85%) because the product clearly fits the care category and there's no ambiguity about it being a horse care item.",,australia only,vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965655502929,equidae-soothing-calm-shampoo-500ml,Equidae SOOTHING & CALM Shampoo - 500ml,Vivarchie Equestrian,(No Product Type),Care Products,95,claude-validated,"Dual AI validation - OpenAI (90%) + Claude (95%) agree: The product is a horse shampoo used for grooming purposes. 'Care Products' is present in the valid product types list and is the most appropriate classification for this item. The product could also potentially fit under 'Coat Care' or 'Coat, Hoof & Grooming', but 'Care Products' is broader and equally valid. The collections 'horse-grooming-supplies' and tags 'shampoo' strongly support this classification.",,australia only; shampoo,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965655535697,equidae-soothing-calm-conditioner-500ml,Equidae SOOTHING & CALM conditioner - 500ml,Vivarchie Equestrian,(No Product Type),"Coat, Hoof & Grooming",95,claude-validated,"Dual AI validation - OpenAI (85%) + Claude (95%) agree: The product is clearly a horse conditioner used for grooming purposes. The title explicitly mentions 'conditioner', the tags include 'shampoo', and the collections include 'horse-grooming-supplies'. The classification 'Coat, Hoof & Grooming' is the most appropriate match from the valid product types list, as it directly corresponds to coat care products for horses. The high confidence is justified by the clear alignment between product description and category.",,australia only; shampoo,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965655568465,equidae-sunscreen-powder,Equidae Sunscreen Powder,Vivarchie Equestrian,(No Product Type),Care Products,90,claude-validated,"Dual AI validation - OpenAI (85%) + Claude (90%) agree: The product is a sunscreen powder for horses (Equidae), which is clearly a care/health product. It's found in the 'horse-health' and 'stable-and-yard' collections, confirming its purpose as a protective care item. 'Care Products' is present in the valid types list and is the most appropriate classification. The product doesn't fit other categories like clothing, tack, or accessories. My confidence is slightly higher than the original (90% vs 85%) because the collections and vendor context strongly support this classification.",,100g with brush; australia only,horse-health; stable-and-yard; vivarchie-equestrian
gid://shopify/Product/6965655830609,equigun,Equigun,Vivarchie Equestrian,(No Product Type),"Coat, Hoof & Grooming",90,claude-validated,"Dual AI validation - OpenAI (85%) + Claude (90%) agree: The product 'Equigun' is clearly positioned in the 'horse-grooming-supplies' collection and is from a vendor specializing in equestrian products. While the exact nature of the Equigun isn't fully clear from the title alone, it is a recognized grooming tool used in equestrian care for massage and grooming purposes. The classification 'Coat, Hoof & Grooming' is the most appropriate match from the available product types, as it directly corresponds to horse grooming supplies. The confidence is slightly higher than the previous classification because the collection placement strongly supports this categorization.",,australia only; vivarchie equestrian,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965655928913,gutzbusta®-knotless-hay-nets-large,GutzBusta® Knotless Hay Nets - Large,Vivarchie Equestrian,(No Product Type),Hay Nets,90,claude-validated,"OpenAI override (higher confidence): The product title explicitly mentions 'Hay Nets', which directly corresponds to the product type 'Hay Nets'. The size 'Large' and brand 'GutzBusta®' further specify the product but do not alter its primary classification.. Claude suggested: Accessories - Luggage",Accessories - Luggage,3cm; 6cm; australia only,vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965655961681,gutzbusta®-knotless-hay-nets-medium,GutzBusta® Knotless Hay Nets - Medium,Vivarchie Equestrian,(No Product Type),Hay Nets,95,claude-validated,"OpenAI override (higher confidence): The product title 'GutzBusta® Knotless Hay Nets - Medium' clearly indicates that this is a hay net, which is used for feeding horses. The term 'Hay Nets' is a specific product type within equestrian supplies.. Claude suggested: Dog Accessories",Dog Accessories,3cm; 4cm; 6cm; australia only,vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965656223825,gutzbusta®-knotted-hay-nets-medium,GutzBusta® Knotted Hay Nets - Medium,Vivarchie Equestrian,(No Product Type),Hay Nets,95,claude-validated,"OpenAI override (higher confidence): The product title 'GutzBusta® Knotted Hay Nets - Medium' clearly indicates that the item is a type of hay net, which is used for feeding horses. The specificity of the product being a 'knotted hay net' supports this classification.. Claude suggested: Dog Toys",Dog Toys,3cm; 4cm; 6cm; australia only,vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965656289361,gutzbusta®-knotless-hay-nets-small,GutzBusta® Knotless Hay Nets - Small,Vivarchie Equestrian,(No Product Type),Hay Nets,90,claude-validated,"OpenAI override (higher confidence): The product title 'GutzBusta® Knotless Hay Nets - Small' clearly indicates that this is a type of hay net, which is used for feeding horses. The term 'Hay Nets' is a specific product type within equestrian equipment.. Claude suggested: Dog Toys",Dog Toys,6cm; australia only,vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965656354897,haas-cavaliere,HAAS Cavaliere,Vivarchie Equestrian,(No Product Type),Horse Grooming Brushes,90,claude-validated,"OpenAI override (higher confidence): The product title 'HAAS Cavaliere' and the tag 'brushes' suggest it is a grooming tool for horses. The collection 'horse-grooming-supplies' further supports this classification.. Claude suggested: Coat, Hoof & Grooming","Coat, Hoof & Grooming",australia only; brushes,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965656387665,gutzbusta®-knotted-hay-nets-large,GutzBusta® Knotted Hay Nets - Large,Vivarchie Equestrian,(No Product Type),Hay Nets,90,claude-validated,"OpenAI override (higher confidence): The product title 'GutzBusta® Knotted Hay Nets - Large' clearly indicates that this is a type of hay net, which is used for feeding horses. The vendor and tags do not contradict this classification.. Claude suggested: Dog Toys",Dog Toys,3cm; australia only,vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965656420433,haas-diamond-gloss,HAAS Diamond Gloss,Vivarchie Equestrian,(No Product Type),"Coat, Hoof & Grooming",90,claude-validated,"Dual AI validation - OpenAI (85%) + Claude (90%) agree: The product 'HAAS Diamond Gloss' is clearly a grooming product based on multiple indicators: (1) the vendor Vivarchie Equestrian specializes in equestrian products, (2) it's tagged as 'brushes', (3) it's in the 'horse-grooming-supplies' collection, and (4) HAAS is a well-known brand for horse grooming brushes. The 'Diamond Gloss' name suggests it's a finishing brush used for coat shine and polish. 'Coat, Hoof & Grooming' is the most appropriate and specific classification from the available types. I've increased confidence to 90% as all evidence strongly supports this classification.",,australia only; brushes,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965656682577,haas-diamond-wurzel,HAAS Diamond Wurzel,Vivarchie Equestrian,(No Product Type),Brushes,90,claude-validated,"OpenAI override (higher confidence): The product title 'HAAS Diamond Wurzel' and the tag 'brushes' strongly indicate that this is a grooming brush for horses. It is also part of the 'horse-grooming-supplies' collection, which supports this classification.. Claude suggested: Coat, Hoof & Grooming","Coat, Hoof & Grooming",australia only; brushes,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965656715345,haas-joker-hoof-pick,HAAS Joker Hoof Pick,Vivarchie Equestrian,(No Product Type),Hoof Picks,90,claude-validated,"OpenAI override (higher confidence): The product title 'HAAS Joker Hoof Pick' directly indicates it is a hoof pick, which is a tool used for horse grooming. The collection 'horse-grooming-supplies' further supports this classification.. Claude suggested: Coat, Hoof & Grooming","Coat, Hoof & Grooming",australia only,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965656780881,haas-mud-bud-previously-blue-stone,"HAAS Mud Bud previously ""Blue Stone""",Vivarchie Equestrian,(No Product Type),"Coat, Hoof & Grooming",90,claude-validated,"Dual AI validation - OpenAI (85%) + Claude (90%) agree: The product 'HAAS Mud Bud' is clearly a grooming product based on multiple indicators: (1) HAAS is a well-known manufacturer of horse grooming brushes and tools, (2) the product is in the 'horse-grooming-supplies' collection, (3) 'Mud Bud' (previously 'Blue Stone') suggests a grooming stone or tool designed to remove dried mud from horse coats, which is a common grooming task. The classification 'Coat, Hoof & Grooming' is the most appropriate match from the valid product types list. I increased confidence to 90% due to the strong brand recognition and clear grooming purpose.",,australia only,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965656911953,haas-noir-small,HAAS Noir Small,Vivarchie Equestrian,(No Product Type),Brushes,90,claude-validated,"OpenAI override (higher confidence): The title 'HAAS Noir Small' and tags include 'brushes', which strongly indicates that this is a grooming brush for horses. It is part of the 'horse-grooming-supplies' collection, further supporting this classification.. Claude suggested: Coat, Hoof & Grooming","Coat, Hoof & Grooming",australia only; brushes,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965656944721,haas-penetrating-bodybrush-ladies,HAAS Penetrating Bodybrush Ladies,Vivarchie Equestrian,(No Product Type),Body Brushes,90,claude-validated,"OpenAI override (higher confidence): The product title includes 'Bodybrush', which is a type of grooming brush for horses. The tags and collections also indicate it is related to horse grooming supplies.. Claude suggested: Coat, Hoof & Grooming","Coat, Hoof & Grooming",australia only; brushes,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965657108561,haas-schimmel,HAAS Schimmel,Vivarchie Equestrian,(No Product Type),Brushes,90,claude-validated,"OpenAI override (higher confidence): The title 'HAAS Schimmel' is associated with a known brand of grooming brushes for horses. The tags include 'brushes', and it is part of the 'horse-grooming-supplies' collection, indicating it is a grooming tool for horses.. Claude suggested: Coat, Hoof & Grooming","Coat, Hoof & Grooming",australia only; brushes,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965657174097,haas-uta-graf-diva,HAAS Uta Gräf DIVA,Vivarchie Equestrian,(No Product Type),Horse Grooming Brushes,90,claude-validated,"OpenAI override (higher confidence): The title 'HAAS Uta Gräf DIVA' and tags include 'brushes', which suggests it is a grooming brush for horses. The collection 'horse-grooming-supplies' further supports this classification.. Claude suggested: Coat, Hoof & Grooming","Coat, Hoof & Grooming",australia only; brushes; mattes,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965657206865,haas-wash-brush,HAAS Wash Brush,Vivarchie Equestrian,(No Product Type),"Coat, Hoof & Grooming",95,claude-validated,"Claude override (higher confidence): While 'Brushes' seems logical, it is not in the valid product types list. The product is a 'HAAS Wash Brush' used for horse grooming, which best fits under 'Coat, Hoof & Grooming' - a category that encompasses grooming tools and supplies. This is also supported by the product being in the 'horse-grooming-supplies' collection. Alternative options like 'Coat Care' or 'Coat and Hoof care' could work, but 'Coat, Hoof & Grooming' is the most comprehensive and appropriate category for a grooming brush.. OpenAI suggested: Brushes",Brushes,australia only; brushes,horse-grooming-supplies; vivarchie-equestrian; globo_basis_collection
gid://shopify/Product/6965657337937,horseware-amigo-bravo-12-plus-medium,Medium Horseware Amigo Bravo 12 Plus Rug,Vivarchie Equestrian,(No Product Type),Horse Rugs,95,claude-validated,"OpenAI override (higher confidence): The title 'Medium Horseware Amigo Bravo 12 Plus Rug' clearly indicates that this is a type of rug for horses, specifically from the Horseware brand. The collections and tags further support this classification as they include 'horse-rugs' and 'horseware'.. Claude suggested: Cotton Rugs",Cotton Rugs,6ft; 6ft3; 6ft6; 6ft9; australia only,horse-rugs; vivarchie-equestrian; horseware-australia
gid://shopify/Product/6965657600081,horseware-rambo-slinky-hood,Rambo Slinky Hood for Horses by Horseware - Available in Various Sizes and Colors,Vivarchie Equestrian,(No Product Type),Horse Rugs,90,claude-validated,"OpenAI override (higher confidence): The product title 'Rambo Slinky Hood for Horses' suggests it is a type of horse rug or cover, specifically a hood, which is typically categorized under horse rugs. The collection tag 'horse-rugs' further supports this classification.. Claude suggested: Clothing Accessories",Clothing Accessories,australia only; horseware; vivarchie equestrian,horse-rugs; vivarchie-equestrian; horseware-australia
gid://shopify/Product/6965657796689,horseware-stormsure,Horseware Stormsure,Vivarchie Equestrian,(No Product Type),Care Products,85,claude-validated,"Dual AI validation - OpenAI (75%) + Claude (85%) agree: Stormsure is a well-known adhesive and repair product used for waterproofing and fixing horse rugs, boots, and other equestrian gear. It's specifically designed for repairing tears and sealing seams in waterproof materials. This clearly falls under 'Care Products' as it's used for maintaining and repairing horse equipment rather than being a wearable item, tack, or accessory. The classification is accurate, and my confidence is slightly higher than the original 75% because Stormsure is a recognized brand in the equestrian care/maintenance category.",,australia only; horseware,vivarchie-equestrian; horseware-australia; globo_basis_collection
