from,to,method,confidence,reasoning,is_new_category
/collections/saddle-pads/burgundy,/horse/pads,ai-suggested,high,"Saddle pads are horse equipment used under saddles. The existing /horse/pads category is the perfect match. The 'burgundy' segment is a color filter, not a structural category, so it should be handled as a product filter rather than a URL path component.",no
/collections/saddle-pads/navy,/horse/pads,ai-suggested,high,"Saddle pads are already mapped under /horse/pads with multiple subcategories. The 'navy' segment is a color filter, not a structural category. The base /horse/pads path is the correct mapping for saddle pad collections.",no
/collections/saddle-pads/black,/horse/pads,ai-suggested,high,"Saddle pads are a core horse equipment category. The existing /horse/pads category is the perfect match. The 'black' segment is a color filter, not a category level, so the base /horse/pads path is appropriate.",no
/collections/saddle-pads/bare,/horse/pads/bare,ai-suggested,high,"Saddle pads belong under /horse/pads which already exists with various subcategories (all-purpose, dressage, jumping, etc.). 'Bare' appears to be a brand name (Bare Performance) for saddle pads, warranting a new brand-specific subcategory similar to existing structure.",yes
/collections/saddle-pads/western,/horse/pads/western,exact-match,high,Already in redirects CSV,no
/collections/pets/hills-science-diet,/pet/dog/food,ai-suggested,high,"Hill's Science Diet is a premium pet food brand primarily known for dog and cat food. Since the existing structure has /pet/dog/food and /pet/cat/food, and dog products are more prominent in the category structure, mapping to dog food is most appropriate. If brand-specific organization is needed, this could alternatively be a new path like /pet/food/hills-science-diet, but the existing dog food category is the best match.",no
/collections/pets/petlife-dog-beds,/pet/dog/bedding,ai-suggested,high,The URL contains 'petlife-dog-beds' which clearly indicates dog beds/bedding products. The existing /pet/dog/bedding category is a perfect match for this product line.,no
/collections/pets/melanie-newman-shampoo,/pet/dog/grooming,ai-suggested,high,"Melanie Newman is a pet grooming brand, primarily known for dog shampoos and grooming products. The existing /pet/dog/grooming category is the perfect match for this collection.",no
/collections/pets/kazoo-dog-bed,/pet/dog/bedding,ai-suggested,high,The URL contains 'kazoo-dog-bed' which clearly indicates a dog bed product. The existing '/pet/dog/bedding' category is the perfect match for this product type.,no
/collections/pets/pawz-dog-bed,/pet/dog/bedding,ai-suggested,high,The URL contains 'pawz-dog-bed' which clearly indicates a dog bed product. The existing category '/pet/dog/bedding' is the perfect match for this product type.,no
/collections/pets/earthborn-dog-food,/pet/dog/food,ai-suggested,high,"Earthborn is a dog food brand. The URL segment 'earthborn-dog-food' clearly indicates dog food products, which maps directly to the existing /pet/dog/food category.",no
/collections/pets/dog-constipation,/pet/dog/supplements,ai-suggested,high,Dog constipation products would be health/digestive supplements. The existing /pet/dog/supplements path is the most appropriate category for digestive health products.,no
