shopify_id,handle,title,vendor,current_type,suggested_type,confidence,validation_status,reasoning,alternative_types,cat_title,cat_slug,tags,collections,model_used,vision_escalated,suggested_brand_handles
gid://shopify/Product/10111690899748,showcraft-ss-oval-link-training-bit-14mm,Showcraft SS Oval Link Training Bit 14mm,Shire Saddleworld,(No Product Type),Bits,94,auto,Title and description identify a stainless steel loose ring oval link training bit.,HORSE: Bits; Bits - Bit Accessories,Horse > Bits,/horse/bits,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111690932516,wrangler-mens-logo-soft-shell-jacket,Wrangler Men's Logo Soft Shell Jacket,Shire Saddleworld,(No Product Type),Jackets,88,auto,Title indicates a men's soft shell jacket; most specific matching type is Jackets.,Casual Jacket; Outerwear,Clothing > Outerwear > Jackets,/clothing/outerwear/jackets,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111690965284,zenblend-new-formula-1-2kg,ZENblend NEW FORMULA - 1.2kg,Shire Saddleworld,(No Product Type),Horse Supplements,86,auto,"Description is a nutritional support blend for horses with vitamins, minerals, probiotics; a horse supplement product.",Supplements; STABLE: Supplements,Horse > Supplements,/horse/supplements,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111690998052,mcalister-stock-leathers-brass-58,"McAlister Stock Leathers Brass 58""",Shire Saddleworld,(No Product Type),Stock Stirrup Straps,90,auto,Title and description specify stock stirrup leathers with brass buckles; best match is Stock Stirrup Straps.,Stirrup Leathers; Leather Stirrup Straps,Horse > Strapping > Strapping - Stirrup Leathers,/horse/tack/stirrup-leathers,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111691030820,zilco-black-2-bar-treads,Zilco Black 2 Bar Treads,Shire Saddleworld,(No Product Type),Stirrup Irons - Stirrup Accessories,88,auto,Rubber treads for 2 bar stirrup irons are stirrup iron accessories.,Stirrup Irons; Stirrups,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10111691096356,stetson-colorado-granite,Stetson Colorado Granite,Shire Saddleworld,(No Product Type),Hat,92,auto,"Stetson Colorado is a western hat; description details felt hat, hatband, crown/brim sizes.",hats; CLOTHING: Hats & Caps,Clothing > Clothing Accessories > beanies,/clothing/accessories/hats,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111691129124,zilco-white-fillis-treads,Zilco White Fillis Treads,Shire Saddleworld,(No Product Type),Stirrup Irons - Stirrup Accessories,88,auto,"Title indicates Fillis treads, which are stirrup iron accessories; sizes in cm match tread sizing.",Stirrups; Stirrup Irons,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10111691194660,eureka-rubber-bit-guards,Eureka Rubber Bit Guards,Shire Saddleworld,(No Product Type),Bits - Bit Accessories,90,auto,Rubber bit guards are accessories for bits to prevent chaffing/pinching.,Bits; HORSE: Bits,Horse > Bits > Bits - Bit Accessories,/horse/bits/accessories,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111691227428,grainge-stirrup-tread-white,Grainge Stirrup Tread White,Shire Saddleworld,(No Product Type),Stirrup Irons - Stirrup Accessories,82,auto,Title/description state stirrup treads to replace worn treads; these are stirrup accessories.,Stirrups; HORSE: Stirrup Irons,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111691260196,zilco-rugby-training-pelham,Zilco Rugby Training Pelham,Shire Saddleworld,(No Product Type),Bits,97,auto,"Title and description specify a pelham bit with mouthpiece, shank and curb chain; this is a horse bit.",HORSE: Bits; Bits - Bit Accessories,Horse > Bits,/horse/bits,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10111691325732,pure-western-girls-emma-boot-cut-jean,Pure Western Girls Emma Boot Cut Jean,Shire Saddleworld,(No Product Type),CLOTHING: Jeans,92,auto,Title and description specify boot cut jean; jeans are most specific match.,Clothing - Kid's Clothing; CLOTHING: Clothing Childs,Clothing > Mens > Mens Jeans,/clothing/mens/jeans,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111691391268,nutriblend-1-8kg,NUTRIblend 1.8kg,Shire Saddleworld,(No Product Type),Horse Supplements,88,auto,Described as a daily nutritional blend with vitamins/minerals for horses; a horse supplement product.,Feed Supplements; STABLE: Supplements,Horse > Supplements,/horse/supplements,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111691456804,akubra-dusty-dawn,Akubra Dusty Dawn,Shire Saddleworld,(No Product Type),Hat,95,auto,Title and description indicate a western-style hat with brim and crown.,hats,Clothing > Clothing Accessories > beanies,/clothing/accessories/hats,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111691489572,horze-junior-active-full-seat-breeches,Horze Junior Active Full-Seat Breeches,Shire Saddleworld,(No Product Type),CLOTHING: Jodhpurs & Breeches Childs,92,auto,Title/description specify junior full-seat breeches for younger riders; child breeches category fits best.,Girls Breeches; breeches,Clothing > Kids > Girls Breeches,/clothing/kids/breeches,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111691522340,zilco-eggbutt-training-bradoon,Zilco Eggbutt Training Bradoon,Shire Saddleworld,(No Product Type),Bits,94,auto,Title and description specify an eggbutt bradoon training bit made of stainless steel.,HORSE: Bits; Bits - Bit Accessories,Horse > Bits,/horse/bits,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10111691587876,zilco-stock-stirrup-straps-pn-leather-1-1-4,"Zilco Stock Stirrup Straps PN Leather 1 1/4""",Shire Saddleworld,(No Product Type),Stock Stirrup Straps,94,auto,Title and description specify stock stirrup straps for stock saddles.,Stirrup Leathers; Strapping - Stirrup Leathers,Horse > Strapping > Strapping - Stirrup Leathers,/horse/tack/stirrup-leathers,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10111691620644,mens-black-bonded-jacket-mwj1009000,Men's Black Bonded Jacket MWJ1009000,Shire Saddleworld,(No Product Type),Casual Jacket,80,auto,"Title and description specify a men's bonded jacket/outerwear for general wear, fitting the casual jacket category.",Jackets; CLOTHING: Casual Clothing Mens,Clothing > Outerwear > Jackets,/clothing/outerwear/jackets,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111691686180,eurohunter-dressage-saddlepad,Eurohunter Dressage Saddlepad,Shire Saddleworld,(No Product Type),Dressage Pads,91,auto,Title and description specify a dressage saddlepad/saddlecloth.,saddle pad; Saddle Cloth,Horse > Saddle Cloth > Dressage Pads,/horse/pads/dressage,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111691915556,zilco-sweet-iron-snaffle-fine,Zilco Sweet Iron Snaffle Fine,Shire Saddleworld,(No Product Type),Bits,92,auto,Title/description indicate a sweet iron snaffle bit; classified under Bits. Brand in title suggests Zilco.,HORSE: Bits; Bits - Bit Accessories,Horse > Bits,/horse/bits,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10111691948324,zilco-tom-thumb,Zilco Tom Thumb,Shire Saddleworld,(No Product Type),Bits,96,auto,Title and description identify a Tom Thumb bit; stainless steel with loose rings indicates a horse bit.,HORSE: Bits; Bits - Bit Accessories,Horse > Bits,/horse/bits,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10111692013860,zilco-black-pvc-stirrup-straps-1x56,"Zilco Black PVC Stirrup Straps 1""X56""",Shire Saddleworld,(No Product Type),Synthetic Stirrup Straps,93,auto,Title/description specify PVC stirrup straps; best match is Synthetic Stirrup Straps.,Stirrup Leathers; Leather Stirrup Straps,Horse > Strapping > Strapping - Stirrup Leathers,/horse/tack/stirrup-leathers,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10111692079396,thomas-cook-silver-twin-keeper-belt,Thomas Cook Silver Twin Keeper Belt,Shire Saddleworld,(No Product Type),Belt,92,auto,Title and description specify a leather belt with buckle and sizes.,belts; CLOTHING: Belts,Clothing > Clothing Accessories > CLOTHING: Belts,/clothing/accessories/belts,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111692112164,jako-man-jacket,Jako Man Jacket,Shire Saddleworld,(No Product Type),Jackets,78,auto,Title/description specify a men's jacket with lining and pockets; no riding-specific cues.,CLOTHING: Clothing Mens; Clothing - Men's Clothing,Clothing > Outerwear > Jackets,/clothing/outerwear/jackets,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111692767524,pessoa-gag,Pessoa Gag,Shire Saddleworld,(No Product Type),Bits,95,auto,"Title and description describe a Pessoa gag bit with sizes and mouth thickness, indicating a horse bit.",HORSE: Bits; Bits - Bit Accessories,Horse > Bits,/horse/bits,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111692833060,saphir-tapis-de-selle,Saphir Tapis de Selle,Shire Saddleworld,(No Product Type),saddle pad,80,auto,Title 'Tapis de Selle' and description indicate a saddle pad/cloth; variants include Dressage/CSO sizes typical of saddle pads.,Saddle Cloth; Saddle Pads & Blankets,Horse > Saddle Cloth,/horse/pads,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111692865828,samy-sweat-unisexe,Samy Sweat Unisexe,Shire Saddleworld,(No Product Type),Sweater,80,auto,Product is a unisex sweatshirt (sweater) per title/description.,jumper; CLOTHING: Clothing Mens,Clothing > Tops > jumper,/clothing/tops/sweaters,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111692931364,aria-women-jogging,Aria Women Jogging,Shire Saddleworld,(No Product Type),CLOTHING: Casual Clothing Ladies,63,needs-review,"Title indicates women’s jogging apparel; no equestrian-specific cues, so casual ladies clothing fits best.",Ladies Clothing; CLOTHING: Clothing Ladies,Clothing > Ladies Clothing > CLOTHING: Casual Clothing Ladies,/clothing/womens/casual,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111692964132,rubber-slanting-fillis-pads,Rubber Slanting Fillis Pads,Shire Saddleworld,(No Product Type),Stirrup Irons - Stirrup Accessories,86,auto,"Title/description indicate Fillis pads for stirrups (built-up pads sold in pairs), which are stirrup accessories.",Stirrup Irons; Stirrups,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693029668,eureka-bot-egg-knife,Eureka Bot Egg Knife,Shire Saddleworld,(No Product Type),Knife,85,auto,"Vision pass used. Image shows a small curved serrated knife; title includes 'Egg Knife', matching Knife type.",STABLE: Instruments; Medical Supplies,Accessories > Knife,/accessories/tools,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,yes,
gid://shopify/Product/10111693127972,eureka-horseplay-star-ball,Eureka Horseplay Star Ball,Shire Saddleworld,(No Product Type),STABLE: Horse Treats & Toys,84,auto,Horse play ball for stimulation and boredom relief indicates a horse toy category.,STABLE: Stable Equipment; Horseware,Horse > Stable Accessories > STABLE: Horse Treats & Toys,/horse/stable/treats,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693193508,jismy-woman-competition-jacket,Jismy Woman Competition Jacket,Shire Saddleworld,(No Product Type),Competition Jacket,90,auto,Title and description specify a women's competition jacket.,Riding Jacket; Jackets,Clothing > Outerwear > Competition Jacket,/clothing/outerwear/show-jackets,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693259044,jaltika-woman-breeches-fix-system-rider,Jaltika Woman Breeches fix system Rider,Shire Saddleworld,(No Product Type),Ladies Breeches,86,auto,"Title says 'Woman Breeches' and description is close-fitting riding trousers with grip system, indicating ladies riding breeches.",breeches,Clothing > Ladies Clothing > Ladies Breeches,/clothing/womens/breeches,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693291812,callie-blouse-short-sleeve,Callie Blouse Short Sleeve,Shire Saddleworld,(No Product Type),Ladies Shirt,90,auto,Vision pass used. Images show a women’s short sleeve button-up blouse/shirt; title says blouse short sleeve.,shirt; shirts,Clothing > Ladies Clothing > Ladies Top,/clothing/womens/tops,,on-sale; globo_basis_collection; shire-saddleworld,gpt-5.2-codex,yes,
gid://shopify/Product/10111693357348,callie-blouse-long-sleeve,Callie Blouse Long Sleeve,Shire Saddleworld,(No Product Type),Shirts & Tops,78,auto,"Title indicates a blouse/long sleeve top for riders; no specific gender given, so use general Shirts & Tops.",Ladies Shirt; shirts,Clothing > Tops,/clothing/tops,,on-sale; globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693390116,luce-woman-breeches-fix-grip,Luce Woman Breeches fix grip,Shire Saddleworld,(No Product Type),Ladies Breeches,86,auto,Title says 'Woman Breeches' and description is riding pants with knee grip; indicates women’s breeches.,breeches; Women's Breeches,Clothing > Ladies Clothing > Ladies Breeches,/clothing/womens/breeches,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693422884,lova-legging-full-seat-women,Lova Legging Full seat women,Shire Saddleworld,(No Product Type),riding tights,89,auto,Title/description indicate women's full seat riding leggings; best fit is Riding Tights.,Tights; Breeches & Riding Tights,Clothing > Ladies Clothing > Ultimate Tights,/clothing/womens/tights,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693488420,technical-riding-sock-black,Technical Riding Sock - Black,Shire Saddleworld,(No Product Type),socks,90,auto,Title specifies riding sock; best match is Socks.,CLOTHING: Socks,Clothing > Clothing Accessories > long socks,/clothing/accessories/socks,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693553956,simhat-woman-jacket-rider,Simhat Woman Jacket Rider,Shire Saddleworld,(No Product Type),ladies jacket,83,auto,Title indicates a women's riding jacket; use the specific ladies jacket type.,Jackets; Casual Jacket,Clothing > Ladies Clothing > ladies jacket,/clothing/womens/jackets,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693586724,eurohunter-cattai-helmet,Eurohunter Cattai Helmet,Shire Saddleworld,(No Product Type),Equestrian Helmets,95,auto,Title and description describe a riding helmet with sizing and ventilation features.,helmet; Helmets,Rider > Helmets,/rider/helmets,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693652260,zilco-econo-air-combo-2,Zilco Econo-Air Combo,Shire Saddleworld,(No Product Type),"RUGS: Summer Rugs, Neck Rugs & Hoods",90,auto,Mesh combo rug designed for heat and airflow; lightweight summer rug with neck/hood style combo.,Horse Rug; Rugs,"Horse > Rug > RUGS: Summer Rugs, Neck Rugs & Hoods",/horse/rugs/summer,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10111693717796,snowbee-pony-club-whip,Snowbee Pony Club Whip,Shire Saddleworld,(No Product Type),Whips,94,auto,Title and description indicate a riding whip for pony club; best match is Whips.,Whips and Crops; RIDER: Whips,Rider > Whips and Crops,/rider/whips,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693783332,casual-barn-slouch-sock,Casual Barn Slouch Sock,Shire Saddleworld,(No Product Type),socks,92,auto,Title indicates a sock product; best match is Socks.,CLOTHING: Socks,Clothing > Clothing Accessories > long socks,/clothing/accessories/socks,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693848868,milrey-cap-sleeve-darla-top-washed-blue,Milrey Cap Sleeve Darla Top - Washed Blue,Shire Saddleworld,(No Product Type),Ladies Top,64,needs-review,Title indicates a cap sleeve top; most specific match is Ladies Top.,top; Tops,Clothing > Ladies Clothing > Ladies Top,/clothing/womens/tops,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693947172,louna-legging-full-seat-women,Louna Legging Full Seat Women,Shire Saddleworld,(No Product Type),riding tights,88,auto,"Title/description indicate close-fitting riding legging with full silicone grip, i.e., riding tights.",Breeches & Riding Tights; Tights,Clothing > Ladies Clothing > Ultimate Tights,/clothing/womens/tights,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111693979940,eureka-d-feed-bin-with-brackets,Eureka D Feed Bin With Brackets,Shire Saddleworld,(No Product Type),STABLE: Feed Bins & Hay Bags,92,auto,"Title/description indicate a feed bin with brackets for stables/fences/horse floats, matching feed bins.",STABLE: Stable Equipment; Feeding,Horse > Stable Accessories > STABLE: Feed Bins & Hay Bags,/horse/stable/feed-storage,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111694045476,balma-women-bodywarmer,Balma Women Bodywarmer,Shire Saddleworld,(No Product Type),Vest,86,auto,"Title and description indicate a sleeveless bodywarmer jacket, which aligns with a vest.",Jackets; Outerwear,Clothing > Tops > Vest,/clothing/tops/vests,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111694111012,priska-women-waterproof-jacket,Priska Women waterproof Jacket,Shire Saddleworld,(No Product Type),Jackets,86,auto,Product is a women’s waterproof rain jacket; title and description indicate jacket outerwear.,Outerwear; Casual Jacket,Clothing > Outerwear > Jackets,/clothing/outerwear/jackets,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111694143780,eureka-childs-leather-clogs,Eureka - Childs Leather Clogs,Shire Saddleworld,(No Product Type),Kids Footwear,83,auto,"Title indicates child's leather clogs, which are footwear for kids; most specific allowed type is Kids Footwear.",FOOTWEAR: Casual Footwear; FOOTWEAR: Equestrian Footwear,Clothing > Kids > Kids Footwear,/clothing/kids/footwear,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111694209316,platinum-series-oxbows-leather-on-tread,Platinum Series Oxbows – Leather on tread,Shire Saddleworld,(No Product Type),Stirrups,86,auto,"Title and description mention ox-bows with tread for stirrup straps, indicating stirrups.",Stirrup Irons; HORSE: Stirrup Irons,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111694242084,nickel-plate-2-bar-stirrups-12cm,Nickel Plate 2 Bar Stirrups - 12cm,Shire Saddleworld,(No Product Type),Stirrup Irons,94,auto,Title and description specify stirrups/irons for stirrup leathers.,Stirrups; HORSE: Stirrup Irons,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10111694307620,prolite-short-girth-narrow-gauge,Prolite Short Girth Narrow Gauge,Shire Saddleworld,(No Product Type),Girths,90,auto,Title and description indicate a short girth for saddle use; most specific match is Girths.,Girth; HORSE: Girths,Horse > Strapping > Girth Loop Adjustable,/horse/tack/girths,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
