product_id,handle,title,vendor,product_type,bullet_1,bullet_2,bullet_3,confidence_score,generated_date,needs_review,reasoning
gid://shopify/Product/6935127490641,zilco-explorer-100-combo,Zilco Explorer 100 Combo,Trailrace Equestrian Outfitters,Horse Rugs,600D polyester ripstop outer for durability and weather resistance,100g polyester fibre fill offers 3-star warmth rating for cooler months,Waterproof and breathable design ensures comfort in varying conditions,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the specific materials and features that make the Zilco Explorer 100 Combo unique, such as the durable 600D polyester ripstop outer, the 100g fill providing a 3-star warmth rating, and its waterproof and breathable properties. These points are specific and measurable, aligning with the task requirements."
gid://shopify/Product/6935127523409,zilco-flag-combo,Flag Combo,Trailrace Equestrian Outfitters,Horse Rugs,Feather-light flag fabric ideal for scorching Australian summers,Durable touch-tape neck straps with metal dees for secure fit,Reinforced webbing along spine and sides for added stability,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the product's unique lightweight material, secure fastening system, and reinforced construction, which are specific features mentioned in the description. These aspects differentiate it from other rugs and cater to the needs of users in hot climates."
gid://shopify/Product/6935128473681,zilco-guardian-rainsheet-combo,Zilco Guardian Rainsheet Combo,Trailrace Equestrian Outfitters,Horse Rugs,"600D polyester ripstop for breathable, waterproof protection",Rump darts ensure a contoured fit for your horse's comfort,Removable leg straps offer versatility and easy adjustments,95,2026-01-23T05:56:51.050Z,false,"The selected bullets highlight the specific materials, features, and benefits that differentiate the Zilco Guardian Rainsheet Combo, such as the 600D polyester ripstop and design elements like rump darts and removable leg straps, which are crucial for comfort and adaptability."
gid://shopify/Product/6935129096273,zilco-supastop-combo,Zilco Horse Rug - Supastop Combo,Trailrace Equestrian Outfitters,Horse Rugs,"Diamond rip grid fabric, 30% stronger than standard rip-stop materials",Satin lined mane & shoulders for reduced friction and added comfort,Generous 1 metre drop with cotton leg straps and metal snaps for secure fit,95,2026-01-23T05:56:51.050Z,false,"These bullets highlight the unique fabric strength, comfort features, and secure fit, which are key differentiators of the product. The specific materials and design elements are emphasized, aligning with the task requirements."
gid://shopify/Product/6935129882705,hamilton-canvas-neck-rug,Hamilton Show Rug With Canvas Neck,Trailrace Equestrian Outfitters,Horse Rugs,Showerproof double ripstop canvas for durability in wet conditions,Satin lined mane for added comfort and reduced friction,Elastic connecting straps with metal clips for secure fit,95,2026-01-23T05:56:51.050Z,false,"The chosen bullets focus on the specific materials and features that enhance the product's functionality and comfort, such as the showerproof canvas, satin lining, and secure straps. These details highlight the unique aspects of the rug, differentiating it from other products."
gid://shopify/Product/6935129915473,eureka-mini-synthetic-rug,Synthetic Mini Rug - Eureka,Trailrace Equestrian Outfitters,Horse Rugs,600 Denier waterproof fabric ensures durability in wet conditions,220gsm poly fill provides warmth for winter protection,High shoulder gussets allow for unrestricted movement,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight specific features like the 600 Denier fabric, 220gsm fill, and high shoulder gussets, which provide durability, warmth, and freedom of movement, respectively. These are concrete, measurable features that differentiate the product."
gid://shopify/Product/6935129948241,kentucky-horsewear-cooler-fleece-neck-rug,Kentucky Horsewear Fleece Cooler Neck Horse Rug,Trailrace Equestrian Outfitters,Horse Rugs,Breathable fabric ideal for drying and stable use,"Elastic neckband ensures a comfortable, secure fit",Easy-to-use zipper and Velcro for quick attachment,95,2026-01-23T05:56:51.050Z,false,"The bullets focus on specific features like breathability, elastic neckband, and easy attachment, which are key differentiators for this product. These elements highlight the product's usability and comfort for both horse and owner."
gid://shopify/Product/6935130013777,garrison-rainsheet-combo,Garrison Rainsheet Combo,Trailrace Equestrian Outfitters,Horse Rugs,1200D polyester ripstop outer for durability and waterproofing,Stainless Steel fittings ensure longevity and rust resistance,Breathable polyester lining for added hygiene and comfort,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the specific materials and features that make the Garrison Rainsheet Combo unique, such as the 1200D ripstop fabric, stainless steel fittings, and breathable lining. These details are concrete and measurable, differentiating the product from generic options."
gid://shopify/Product/6935130767441,kentucky-horsewear-cooler-fleece-rug,Kentucky Horsewear Fleece Cooler Rug,Trailrace Equestrian Outfitters,Horse Rugs,Detachable surcingles for dual use as a show rug,Artificial sheepskin on withers for added comfort,"Machine washable at 30°, ensuring easy maintenance",95,2026-01-23T05:56:51.050Z,false,"These bullets highlight unique features such as the detachable surcingles for versatility, the comfort-enhancing artificial sheepskin, and the convenience of being machine washable, which are specific and differentiating aspects of the product."
gid://shopify/Product/6935130865745,kentucky-horsewear-horse-bib-waterproof,Kentucky Horsewear Horse Bib Waterproof,Trailrace Equestrian Outfitters,Horse Rugs - Rug Accessories,100% peached polyester with waterproof coating for rainy days,Artificial rabbit skin lining ensures comfort against the horse's skin,Divides pressure evenly to prevent rubbing on chest and withers,95,2026-01-23T05:56:51.050Z,false,"These bullets highlight the specific materials and functional benefits of the product, such as the waterproof coating, comfort provided by the artificial rabbit skin, and the pressure distribution feature. These are concrete, measurable features that differentiate the product from others in the market."
gid://shopify/Product/6935131193425,kentucky-riding-rug,Horse Riding Rug From Kentucky,Trailrace Equestrian Outfitters,Horse Rugs,160g filling ideal for warming up and cooling down rides,Artificial rabbit skin lining retains heat and polishes coat,Strong Velcro fastening ensures secure fit in front of saddle,95,2026-01-23T05:56:51.050Z,false,"These bullets highlight the specific features and benefits of the product, such as the 160g filling for temperature regulation, the artificial rabbit skin lining for warmth and coat care, and the secure Velcro fastening. These details differentiate the rug by focusing on functionality and design elements unique to this product."
gid://shopify/Product/6935132078161,kentucky-sheepskin-rug-bib-wither-protection,Kentucky Sheepskin Rug Bib Wither Protection,Trailrace Equestrian Outfitters,Horse Rugs - Rug Accessories,Anatomical shape ensures secure fit without additional fasteners,Memory foam adapts to all horse morphologies for comfort,Machine washable at 30°C for easy maintenance,95,2026-01-23T05:56:51.050Z,false,"These bullets highlight the unique features of the product: its anatomical shape for a secure fit, memory foam for adaptability and comfort, and machine washability for convenience. These aspects differentiate it from other wither protection products."
gid://shopify/Product/6935132995665,kentucky-summer-sheet-quick-dry,Kentucky Summer Sheet Quick Dry,Trailrace Equestrian Outfitters,Rug,1000D High Tenacity Polyester resists bites and tears,Knitted Quick Dry lining wicks sweat for rapid evaporation,Anatomic shape and artificial sheepskin prevent wither rubs,95,2026-01-23T05:56:51.050Z,false,"The selected bullet points focus on specific materials and technologies that provide durability, comfort, and functionality, setting this product apart from others. The 1000D fabric and Quick Dry lining are key differentiators, while the anatomic shape and sheepskin highlight comfort features."
gid://shopify/Product/6935133519953,shanga-lycra-skinny-hood-with-zip,Shanga Lycra Show Rug with Skinny Zip Hood,Trailrace Equestrian Outfitters,Horse Rugs,"Lycra material offers a snug fit, enhancing comfort and mobility",Skinny zip hood keeps mane clean and tidy before competitions,"Available in classic navy, ideal for show prep elegance",95,2026-01-23T05:56:51.050Z,false,"The bullets focus on specific features like the lycra material for fit, the skinny zip hood for cleanliness, and the navy colour for show readiness, which are key differentiators for this product."
gid://shopify/Product/6935133945937,stadium-wool-hood,Stadium Wool Show Rug,Trailrace Equestrian Outfitters,Horse Rugs,425g wool blend offers superior insulation and breathability,Sturdy velcro fastenings ensure a secure fit during use,Poly/cotton double binding adds durability and style,95,2026-01-23T05:56:51.050Z,false,"The bullets focus on the specific materials and features that differentiate the product, such as the weight and blend of the wool, the fastening system, and the binding material. These details are crucial for potential buyers looking for warmth, fit, and durability in a show rug."
gid://shopify/Product/6935134568529,wild-horse-replacement-leg-straps,Leg Straps for Wild Horse Rug Replacement,Trailrace Equestrian Outfitters,Horse Rugs - Rug Accessories,Nylon/elastic blend for optimal flexibility and durability,Adjustable slider ensures a secure fit for all horse sizes,Designed for easy replacement of wild horse rug leg straps,95,2026-01-23T05:56:51.050Z,false,"These bullets highlight the specific materials used, the adjustability feature, and the intended use for replacing leg straps on horse rugs, which are key selling points for this product."
gid://shopify/Product/6935134601297,wild-horse-ic-mesh-rug-hood,Wild Horse IC Mesh Rug & hood,Trailrace Equestrian Outfitters,Horse Rugs,Insect Control treated fabric keeps pests at bay in hot climates,Super strength Mesh with larger open holes for optimal airflow,Contoured backline and double cross surcingles for secure fit,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the unique insect control treatment, the specific fabric design for airflow, and the secure fit features, which are key differentiators of the product."
gid://shopify/Product/6935134797905,wild-horse-ic-ripstop-combo,Combo Horse Rug - Wild Horse IC Ripstop,Trailrace Equestrian Outfitters,Horse Rugs,Insect Control treated fabric keeps pests at bay for your horse's comfort,"70% polyester blend ensures durability, while 30% cotton offers breathability",Contoured backline and double cross surcingles prevent rug shifting,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight specific features like the insect control treatment, the fabric composition, and the design elements that ensure the rug stays in place, all of which are unique selling points for this product."
gid://shopify/Product/6935136010321,zilco-defender-cotton-combo,Zilco Cotton Defender Show Rug Combo,Trailrace Equestrian Outfitters,Rugs,Heavy cotton drill fabric for durability in show and stable use,Satin lined neck ensures comfort and prevents rubbing,Nylon leg straps with metal clips for secure fit and easy adjustments,95,2026-01-23T05:56:51.050Z,false,"The selected bullets highlight specific materials and features such as the heavy cotton drill, satin lining, and nylon leg straps with metal clips, which are key differentiators for the product. These details provide clear benefits and align with the product's intended use in both show and stable environments."
gid://shopify/Product/6935136206929,zilco-defender-cotton-rug,Defender Cotton Show Rug by Zilco,Trailrace Equestrian Outfitters,Horse Rugs,Heavy cotton drill fabric for durability in show and stable use,Fleece wither protector enhances comfort and prevents rubbing,Rump darts offer a contoured fit for improved coverage,95,2026-01-23T05:56:51.050Z,false,"The chosen bullets highlight the specific materials and design features that provide durability, comfort, and fit, which are key differentiators for this product. The heavy cotton drill fabric, fleece wither protector, and rump darts are concrete features that offer measurable benefits to the user."
gid://shopify/Product/6935136796753,zilco-econo-air-combo,Zilco Econo Air Combo Horse Rug,Trailrace Equestrian Outfitters,Horse Rugs,130g mesh fabric for superior breathability and airflow,Satin lining in mane area prevents rubbing and discomfort,Large tail flap offers enhanced protection from insects,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the specific features of the Zilco Econo Air Combo Horse Rug, such as the lightweight 130g mesh for airflow, satin lining for comfort, and a large tail flap for insect protection. These elements are concrete and measurable, aligning with the product's description and differentiating it from other horse rugs."
gid://shopify/Product/6935136862289,zilco-econo-hybrid-combo,Zilco Econo Hybrid Combo,Trailrace Equestrian Outfitters,Horse Rugs,250g polyester ripstop fabric with diamond grid for enhanced durability,130g breathable mesh inserts for superior ventilation on warm days,Cast iron buckles and polypropylene leg straps ensure secure fit,95,2026-01-23T05:56:51.050Z,false,"The selected bullets highlight the unique combination of materials and features that provide durability, breathability, and secure fit, which are key selling points for this hybrid horse rug."
gid://shopify/Product/6935138467921,zilco-explorer-200-combo,Zilco Horse Rug: Explorer 200 Combo,Trailrace Equestrian Outfitters,Horse Rugs,600D polyester ripstop outer for durability and tear resistance,200g polyester fibre fill offers 4-star warmth rating,Waterproof and breathable for all-weather protection,95,2026-01-23T05:56:51.050Z,false,"The selected bullets highlight specific features like the material's denier rating, insulation weight, and weatherproof capabilities, which are key differentiators for potential buyers. These details provide concrete, measurable benefits that align with the product's intended use and customer needs."
gid://shopify/Product/6935138828369,defender-medium-combo,Defender Medium Combo,Trailrace Equestrian Outfitters,Rugs,1200D polyester ripstop outer for enhanced durability and tear resistance,120g fibre fill ideal for moderate Australian climates,Reflective tape trim for increased visibility and safety,95,2026-01-23T05:56:51.050Z,false,"These bullets highlight the specific materials, weight, and safety features that set this product apart, providing clear benefits for the target climate and usage."
gid://shopify/Product/6935139123281,kentucky-horsewear-horse-bib-summer,Kentucky Horsewear Horse Bib Summer,Trailrace Equestrian Outfitters,Horse Rugs - Rug Accessories,100% peached polyester fabric for ultimate softness and comfort,Dual-flap design with notches ensures secure placement under rugs,Machine washable at 30° for easy maintenance and care,95,2026-01-23T05:56:51.050Z,false,"These bullets highlight the unique materials, design, and care instructions that differentiate this product, focusing on specific features and benefits that are important to potential buyers."
gid://shopify/Product/6935139319889,kentucky-horsewear-horse-bib-winter,Kentucky Horsewear Horse Bib Winter,Trailrace Equestrian Outfitters,Horse Rugs - Rug Accessories,Artificial rabbit skin lining for ultimate chest comfort,100% peached polyester outer prevents rug rubs,Notched edges ensure secure fit under any rug,95,2026-01-23T05:56:51.050Z,false,"The bullets focus on specific materials and design features that enhance comfort and functionality, such as the artificial rabbit skin lining and peached polyester outer, which are unique selling points for this product."
gid://shopify/Product/6935140663377,kentucky-under-rug-skin-friendly,Kentucky Horse Rug with Skin Friendly Under Layer,Trailrace Equestrian Outfitters,Horse Rugs,Artificial rabbit skin lining for warmth and coat shine,300g filling with air pockets to retain body heat,Classic front closure with Velcro for secure fit,95,2026-01-23T05:56:51.050Z,false,"The bullets focus on the unique artificial rabbit skin lining, the specific 300g filling, and the secure closure system, which are key differentiators of this product."
gid://shopify/Product/6935140859985,kentucky-stable-rug-400g,Kentucky Horse Rug with 400g Stable Protection,Trailrace Equestrian Outfitters,Horse Rugs,Three-layered diamond quilting for enhanced durability and strength,Artificial rabbit skin lining traps heat and enhances coat shine,Detachable bungee tail cord with plastic cover for easy cleaning,95,2026-01-23T05:56:51.050Z,false,"The bullets highlight the unique construction, material benefits, and practical features like easy cleaning, which are key differentiators for this product."
